category1_code,category2_code,product_code,title,imageurl,price_eur,title_cleaned
FASHION,HANDBAGS,PAS4511B14757,Kalbslackleder & goldfarbenes Metall  Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/small-box-bag-black-patent-calfskin-gold-tone-metal-patent-calfskin-gold-tone-metal-packshot-artistique-vue4-as4511b1475794305-9527176560670.jpg",5200.0,kalbslackleder & goldfarbenes metall schwarz
FASHION,SHOES,PG02819Y01552,n.a.,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/n.a.",930.0,
FASHION,SHOES,PG45310B14598,Ziegenvelours & Rips  Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/short-boots-black-suede-kidskin-grosgrain-suede-kidskin-grosgrain-packshot-artistique-vue3-g45310b1459894305-9527206248478.jpg",2300.0,ziegenvelours & rips schwarz
FASHION,SHOES,PG45335B14498,n.a.,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/n.a.",1200.0,
JEWELRY,NECKLACES,PJ0868,Mittelgroßes Modell  18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/comete-geode-necklace-diamond-white-gold-packshot-default-j0868-9528006541342.jpg",7150.0,mittelgroßes modell 18 karat weißgold diamanten
JEWELRY,NECKLACES,PJ10815,18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/plume-de-chanel-necklace-white-gold-diamond-packshot-default-j10815-9527999889438.jpg",19200.0,18 karat weißgold diamanten
JEWELRY,COCO CRUSH,PJ10863,Steppmotiv  großes Modell  18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-ring-white-white-gold-diamond-packshot-default-j10863-9527992090654.jpg",9550.0,steppmotiv großes modell 18 karat weißgold diamanten
JEWELRY,COCO CRUSH,PJ11100,Steppmotiv  großes Modell  18 Karat BEIGEGOLD  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-ring-beige-gold-diamond-packshot-default-j11100-9528988532766.jpg",9100.0,steppmotiv großes modell 18 karat beigegold diamanten
JEWELRY,EARRINGS,PJ11150,18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/ruban-earrings-white-white-gold-diamond-packshot-default-j11150-8825144180766.jpg",26500.0,18 karat weißgold diamanten
FASHION,SMALL LEATHER GOODS,PA82365Y01480,Lammleder & silberfarbenes Metall  Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/classic-mini-pouch-black-lambskin-silver-tone-metal-lambskin-silver-tone-metal-packshot-default-a82365y01480c3906-8853584379934.jpg",600.0,lammleder & silberfarbenes metall schwarz
FASHION,BELTS,PAA9445B14102,Lammleder  goldfarbenes Metall & Strass  Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/belt-black-lambskin-gold-tone-metal-strass-lambskin-gold-tone-metal-strass-packshot-artistique-vue1-aa9445b1410294305-9527219716126.jpg",1180.0,lammleder goldfarbenes metall & strass schwarz
FASHION,CAMELLIAS,PAA9624B14805,n.a.,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/n.a.",860.0,
JEWELRY,RINGS,PJ11935,18 Karat Weißgold und Gelbgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/plume-de-chanel-ring-yellow-white-white-gold-yellow-gold-diamond-packshot-default-j11935-8830995005470.jpg",46400.0,18 karat weißgold und gelbgold diamanten
JEWELRY,COCO CRUSH,PJ11971,Steppmotiv  kleines Modell  18 Karat Weiß- und BEIGEGOLD  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-toi-et-moi-ring-beige-white-beige-gold-white-gold-diamond-packshot-default-j11971-9527993434142.jpg",3570.0,steppmotiv kleines modell 18 karat weiß- und beigegold diamanten
JEWELRY,EARRINGS,PJ12038,18 Karat Gelbgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/bouton-de-camelia-earrings-yellow-yellow-gold-diamond-packshot-default-j12038-9518954741790.jpg",12150.0,18 karat gelbgold diamanten
JEWELRY,COCO CRUSH,PJ12103,Steppmotiv  18 Karat Gelbgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-necklace-yellow-yellow-gold-diamond-packshot-default-j12103-9527996252190.jpg",5850.0,steppmotiv 18 karat gelbgold diamanten
JEWELRY,NECKLACES,PJ12063,18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/bouton-de-camelia-choker-white-white-gold-diamond-packshot-default-j12063-9527970889758.jpg",46500.0,18 karat weißgold diamanten
FASHION,HEADWEAR,PAA9442B13871,Lammfell  Schwarz & Weiß,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/earmuffs-black-white-shearling-lambskin-shearling-lambskin-packshot-artistique-vue1-aa9442b13871nq798-9529168265246.jpg",950.0,lammfell schwarz & weiß
FASHION,SCARVES,PAA9446B13872,Lammfell  Weiß & Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/scarf-white-black-shearling-lambskin-shearling-lambskin-packshot-artistique-vue3-aa9446b13872nq797-9529167085598.jpg",1880.0,lammfell weiß & schwarz
FASHION,CAMELLIAS,PAA9625B14805,Baumwolltweed & Wolle  Bordeaux  Rosa  Beige & Grau,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/camellia-burgundy-pink-beige-grey-cotton-wool-tweed-cotton-wool-tweed-packshot-artistique-vue2-aa9625b14805ns857-9533696278558.jpg",790.0,baumwolltweed & wolle bordeaux rosa beige & grau
FASHION,COSTUME JEWELRY,PABB034B13049,Metall & Strass  Silberfarben & Kristall,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/hoop-earrings-silver-crystal-metal-strass-metal-strass-packshot-artistique-vue1-abb034b13049no876-9524096892958.jpg",890.0,metall & strass silberfarben & kristall
JEWELRY,COCO CRUSH,PJ12094,Steppmotiv  18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-hoop-earrings-white-white-gold-diamond-packshot-default-j12094-9527971381278.jpg",8950.0,steppmotiv 18 karat weißgold diamanten
JEWELRY,COCO CRUSH,PJ12307,Steppmotiv  18 Karat Weißgold,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-necklace-white-white-gold-packshot-default-j12307-9532583673886.jpg",2790.0,steppmotiv 18 karat weißgold
JEWELRY,RINGS,PJ2637,Mittelgroßes Modell  18 Karat Weißgold  Diamanten  schwarze Keramik,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/ultra-ring-diamond-black-ceramic-white-gold-packshot-default-j2637-9528988303390.jpg",5950.0,mittelgroßes modell 18 karat weißgold diamanten schwarze keramik
JEWELRY,BRACELETS,PJ2788,18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/comete-geode-bracelet-white-white-gold-diamond-packshot-default-j2788-9527980556318.jpg",15000.0,18 karat weißgold diamanten
JEWELRY,NECKLACES,PJ12037,18 Karat Gelbgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/bouton-de-camelia-necklace-yellow-yellow-gold-diamond-packshot-default-j12037-9523709673502.jpg",7300.0,18 karat gelbgold diamanten
JEWELRY,COCO CRUSH,PJ12104,Steppmotiv  18 Karat Weißgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-necklace-white-white-gold-diamond-packshot-default-j12104-9527994581022.jpg",6250.0,steppmotiv 18 karat weißgold diamanten
