category1_code,category2_code,product_code,title,imageurl,price_eur,title_cleaned
FASHION,COSTUME JEWELRY,PABC063B14483,Metall  Harz & Strass  Goldfarben  Rosa & Kristall,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/ring-gold-pink-crystal-metal-resin-strass-metal-resin-strass-packshot-artistique-vue1-abc063b14483ns280-9527292362782.jpg",830.0,metall harz & strass goldfarben rosa & kristall
FASHION,COSTUME JEWELRY,PABC136B14724,Metall  Glas & Strass  Silberfarben  goldfarben  Schwarz & Kristall,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/long-necklace-silver-gold-black-crystal-metal-glass-strass-metal-glass-strass-packshot-artistique-vue3-abc136b14724ns706-9527291609118.jpg",2110.0,metall glas & strass silberfarben goldfarben schwarz & kristall
FASHION,SMALL LEATHER GOODS,PAP3267B04852,Glänzendes Lammleder  gold-  silber- & rutheniumfarbenes Metall  Bordeaux,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/chanel-19-wallet-on-chain-burgundy-shiny-lambskin-gold-tone-silver-tone-ruthenium-finish-metal-shiny-lambskin-gold-tone-silver-tone-ruthenium-finish-metal-packshot-artistique-vue2-ap3267b04852nr648-9527225516062.jpg",3900.0,glänzendes lammleder gold- silber- & rutheniumfarbenes metall bordeaux
FASHION,HANDBAGS,PA01112B12979,n.a.,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/n.a.",9250.0,
MAKEUP,FACE,PP020324,POUDRE BELLE MINE NATURELLE - NACHFÜLLUNG,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.50,h_0.50,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/les-beiges-healthy-glow-sheer-powder-refill-b20-0-4oz--packshot-default-185272-9531152465950.jpg",43.0,poudre belle mine naturelle - nachfüllung
FRAGRANCE,WOMEN,PP101008,EAU DE TOILETTE ZERSTÄUBER,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/allure-eau-de-toilette-spray-3-4fl-oz--packshot-default-112460-8824191778846.jpg",136.0,eau de toilette zerstäuber
FRAGRANCE,WOMEN,PP102640,LES EAUX DE CHANEL - EAU DE TOILETTE ZERSTÄUBER,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/paris-edimbourg-les-eaux-de-chanel-eau-de-toilette-spray-4-2fl-oz--packshot-default-102747-8837152243742.jpg",142.0,les eaux de chanel - eau de toilette zerstäuber
MAKEUP,FACE,PP020938,EAU DE TEINT REISEGRÖSSE,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.43,h_0.43,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/les-beiges-water-fresh-tint-light-0-5fl-oz--packshot-default-158817-9526270623774.jpg",45.0,eau de teint reisegrösse
MAKEUP,FACE,PP026867,3 REISEGRÖSSEN FÜR DEN SOMMER,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/les-beiges-summer-to-go-trio-healthy-glow-bronzing-cream-soleil-tan-bronze-water-fresh-tint-medium-illuminating-oil-3pce-packshot-default-100693-9526900752414.jpg",139.0,3 reisegrössen für den sommer
FRAGRANCE,WOMEN,PP105820,DAS KÖRPERÖL,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/w_0.51,h_0.51,c_crop/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/n-5-the-body-oil-8-4fl-oz--packshot-default-105820-9535754207262.jpg",115.0,das körperöl
